Pays;Population totale;Taux de natalité;Taux de mortalité;Espérance de vie;Taux de mortalité infantile;Nombre d’enfant(s) par femme;Taux de croissance;Population de 65 ans et plus
Salomon (Îles);617;27,7;5,5;68,8;33,2;3,73;18,2;21
Vanuatu;282;25,2;4,7;72,8;20,2;3,2;20,9;13
Guam;176;16,8;4,9;80,2;8,2;2,31;11,6;17
Kiribati;118;27,4;6,9;66,8;42,1;3,56;17;5
Micronésie (États fédérés de);106;23,7;6,1;69,7;29,9;3,05;6,7;5
Polynésie française;292;15,3;5,8;77,3;5,5;1,98;9,2;24
Samoa occidentales;197;23,9;5,3;74,4;17,4;3,88;5,8;11
Tonga;109;23,2;5,9;73,5;18,8;3,56;9,1;6
Chine;1 393 686;11,3;7,4;76,6;9,3;1,59;3,7;154 420
Chine - Hong Kong;7 455;9,8;6,6;84,6;1,5;1,31;7;1 250
Chine - Macao;615;11,8;4,9;81,4;3;1,36;14,7;65
Corée du Nord;25 527;14,2;9,5;71,2;19;1,93;4,7;2 314
Corée du Sud;50 897;9;6,1;82,9;2,1;1,34;3,7;7 395
Japon;125 738;8;11;84,1;1,9;1,47;-2,6;34 880
Mongolie;3 096;21,3;6,1;70,7;18,7;2,54;13,9;136
Taïwan;23 410;7,5;7,5;80,4;3,4;1,03;0,1;3 318
Brunei;440;14,7;3,2;79,6;4;1,81;12,3;24
Cambodge;16 324;22,6;5,8;70,2;19,4;2,5;15,1;746
Indonésie;266 357;18,4;7,2;69,6;22,1;2,35;10,6;14 733
Laos;7 158;24,9;6,2;67,8;37,2;2,74;16,9;287
Malaisie;31 571;16,5;5,2;75,4;6,7;1,89;12,8;2 056
Myanmar (Birmanie);55 311;16,9;8,4;66,6;42,5;2,12;8,5;3 301
Philippines;105 341;22,6;6,8;68,8;21,1;2,85;14,7;5 157
Singapour;5 867;8,6;5,1;83,8;1,4;1,26;13,3;798
Thaïlande;68 416;9,8;8,4;75,2;9,3;1,45;1,5;8 118
Timor-Est;1 263;35;6,4;69,4;37;5,27;20,3;66
Viêt Nam;96 357;16;6;76,4;17;1,95;9,6;7 135
Afghanistan;34 936;31;7,6;61,7;62,8;4,15;21,8;906
Bangladesh;166 735;18,4;5,2;73,1;24,8;2,06;11,4;8 373
Bhoutan;801;16,7;6,2;70,9;23,9;1,9;10,3;43
Inde;1 358 138;18,9;7,3;69,2;33,2;2,33;11,5;83 498
Iran;81 810;15,3;4,6;76;12,6;1,61;10,3;4 669
Kazakhstan;18 256;19,7;8,9;69,8;12;2,53;10,3;1 305
Kirgizistan;6 213;23,8;6,3;71;16,6;2,93;14,1;285
Maldives;382;19;3,7;77,7;6,8;1,97;15,3;18
Népal;29 522;19,6;6,2;71;25,3;2,06;11,3;1 779
Ouzbékistan;31 065;20,6;7,1;68,9;40,5;2,32;11,8;1 550
Pakistan;200 663;27,3;7,2;66,9;62,7;3,35;19,5;9 032
Sri Lanka;20 996;14,7;7,1;75,6;6,8;2,02;4,2;2 186
Tadjikistan;9 047;28,4;5,5;70;35,3;3,31;20,8;293
Turkménistan;5 565;19,8;7,8;66,1;43,1;2,2;11,1;251
Arabie saoudite;33 300;18,3;3,5;74,9;13,1;2,57;16,5;1 099
Arménie;3 035;12,4;9,6;75,4;11,2;1,5;0,9;356
Azerbaïdjan;10 070;17,7;7,6;71,2;36;2,22;9,2;660
Bahreïn;1 442;12,9;2,5;77,1;5,9;1,97;16,1;37
Chypre;1 198;10,8;7;80,8;3,5;1,42;8,7;165
Emirats Arabes Unis;9 543;9,9;1,8;77,6;5,2;1,72;15,2;144
Georgie;3 974;12,8;11,5;75,5;11,5;1,82;0,5;569
Irak;39 751;33;4,9;70,1;27,6;4,33;27,7;1 286
Israël;8 455;19,5;5,2;83,1;2,9;2,92;15,6;1 018
Jordanie;7 985;24,7;3,8;74,6;14,5;3,18;12,8;304
Koweït;4 177;18,1;2,6;74,9;7,5;2,02;17,6;91
Liban;6 022;15,5;4,6;80,4;7,9;1,71;-6,2;530
Oman;4 774;17,3;2,7;77,6;5,8;2,5;5,1;145
Palestine;5 061;31,2;3,5;73,6;18,3;3,92;26,5;155
Qatar;2 378;11,4;1,6;78,8;5,6;1,94;16,3;34
Syrie;19 482;21,2;5,5;70,6;14,8;2,75;33,1;848
Turquie;81 086;15,6;5,8;76,3;9,7;2;7,8;6 672
Yémen;28 758;30,3;6,6;64,6;48,1;3,73;22,2;870
